"","hc_c2","c"
"1",8,"Israel"
"2",8,"United States"
"3",7,"Azerbaijan"
"4",7,"Eritrea"
"5",7,"German Democratic Republic"
"6",7,"Korea, Democratic People's Republic of"
"7",7,"Namibia"
"8",7,"Seychelles"
"9",7,"South Africa"
"10",7,"Yemen"
"11",6,"Austria"
"12",6,"Denmark"
"13",6,"Finland"
"14",6,"Greece"
"15",6,"Iceland"
"16",6,"Ireland"
"17",6,"Japan"
"18",6,"New Zealand"
"19",6,"Norway"
"20",6,"Spain"
"21",6,"Sweden"
"22",5,"Australia"
"23",5,"Belgium"
"24",5,"Canada"
"25",5,"France"
"26",5,"Italy"
"27",5,"Luxembourg"
"28",5,"Netherlands"
"29",5,"Portugal"
"30",5,"United Kingdom"
"31",4,"Andorra"
"32",4,"Armenia"
"33",4,"Bosnia and Herzegovina"
"34",4,"Croatia"
"35",4,"Czech Republic"
"36",4,"Dominica"
"37",4,"Estonia"
"38",4,"Federal Republic of Germany"
"39",4,"Georgia"
"40",4,"Germany"
"41",4,"Kazakhstan"
"42",4,"Kiribati"
"43",4,"Korea, Republic of"
"44",4,"Kyrgyzstan"
"45",4,"Latvia"
"46",4,"Liechtenstein"
"47",4,"Lithuania"
"48",4,"Macedonia, the former Yugoslav Republic of"
"49",4,"Marshall Islands"
"50",4,"Micronesia, Federated States of"
"51",4,"Moldova, Republic of"
"52",4,"Monaco"
"53",4,"Montenegro"
"54",4,"Nauru"
"55",4,"Palau"
"56",4,"Saint Kitts and Nevis"
"57",4,"San Marino"
"58",4,"Slovakia"
"59",4,"Slovenia"
"60",4,"South Sudan"
"61",4,"Switzerland"
"62",4,"Taiwan, Province of China"
"63",4,"Tajikistan"
"64",4,"Timor-Leste"
"65",4,"Tonga"
"66",4,"Turkmenistan"
"67",4,"Tuvalu"
"68",4,"Uzbekistan"
"69",4,"Zanzibar"
"70",3,"Algeria"
"71",3,"Bahrain"
"72",3,"Bangladesh"
"73",3,"Barbados"
"74",3,"Benin"
"75",3,"Bhutan"
"76",3,"Botswana"
"77",3,"Burkina Faso"
"78",3,"Burundi"
"79",3,"Cabo Verde"
"80",3,"China"
"81",3,"Congo"
"82",3,"Cyprus"
"83",3,"Djibouti"
"84",3,"Gabon"
"85",3,"Guinea"
"86",3,"Guyana"
"87",3,"Jamaica"
"88",3,"Kenya"
"89",3,"Kuwait"
"90",3,"Lao People's Democratic Republic"
"91",3,"Lesotho"
"92",3,"Madagascar"
"93",3,"Maldives"
"94",3,"Malta"
"95",3,"Mauritania"
"96",3,"Mauritius"
"97",3,"Mozambique"
"98",3,"Niger"
"99",3,"Oman"
"100",3,"Qatar"
"101",3,"Sierra Leone"
"102",3,"Singapore"
"103",3,"Suriname"
"104",3,"Tanzania, United Republic of"
"105",3,"Trinidad and Tobago"
"106",3,"Uganda"
"107",3,"United Arab Emirates"
"108",3,"Viet Nam"
"109",3,"Zambia"
"110",2,"Albania"
"111",2,"Angola"
"112",2,"Antigua and Barbuda"
"113",2,"Bahamas"
"114",2,"Belize"
"115",2,"Brunei Darussalam"
"116",2,"Cambodia"
"117",2,"Central African Republic"
"118",2,"Chad"
"119",2,"Comoros"
"120",2,"Congo, the Democratic Republic of the"
"121",2,"Czechoslovakia"
"122",2,"Equatorial Guinea"
"123",2,"Fiji"
"124",2,"Gambia"
"125",2,"Grenada"
"126",2,"Guinea-Bissau"
"127",2,"Malawi"
"128",2,"Papua New Guinea"
"129",2,"Rwanda"
"130",2,"Saint Lucia"
"131",2,"Saint Vincent and the Grenadines"
"132",2,"Samoa"
"133",2,"Sao Tome and Principe"
"134",2,"Solomon Islands"
"135",2,"Somalia"
"136",2,"Swaziland"
"137",2,"Vanuatu"
"138",2,"Yemen Arab Republic"
"139",2,"Yemen People's Republic"
"140",2,"Zimbabwe"
"141",1,"Afghanistan"
"142",1,"Argentina"
"143",1,"Belarus"
"144",1,"Bolivia, Plurinational State of"
"145",1,"Brazil"
"146",1,"Bulgaria"
"147",1,"Cameroon"
"148",1,"Chile"
"149",1,"Colombia"
"150",1,"Costa Rica"
"151",1,"Cote d'Ivoire"
"152",1,"Cuba"
"153",1,"Dominican Republic"
"154",1,"Ecuador"
"155",1,"Egypt"
"156",1,"El Salvador"
"157",1,"Ethiopia"
"158",1,"Ghana"
"159",1,"Guatemala"
"160",1,"Haiti"
"161",1,"Honduras"
"162",1,"Hungary"
"163",1,"India"
"164",1,"Indonesia"
"165",1,"Iran, Islamic Republic of"
"166",1,"Iraq"
"167",1,"Jordan"
"168",1,"Lebanon"
"169",1,"Liberia"
"170",1,"Libya"
"171",1,"Malaysia"
"172",1,"Mali"
"173",1,"Mexico"
"174",1,"Mongolia"
"175",1,"Morocco"
"176",1,"Myanmar"
"177",1,"Nepal"
"178",1,"Nicaragua"
"179",1,"Nigeria"
"180",1,"Pakistan"
"181",1,"Panama"
"182",1,"Paraguay"
"183",1,"Peru"
"184",1,"Philippines"
"185",1,"Poland"
"186",1,"Romania"
"187",1,"Russian Federation"
"188",1,"Saudi Arabia"
"189",1,"Senegal"
"190",1,"Sri Lanka"
"191",1,"Sudan"
"192",1,"Syrian Arab Republic"
"193",1,"Thailand"
"194",1,"Togo"
"195",1,"Tunisia"
"196",1,"Turkey"
"197",1,"Ukraine"
"198",1,"Uruguay"
"199",1,"Venezuela, Bolivarian Republic of"
"200",1,"Yugoslavia"
