"","hc_c2","c"
"1",1,"Afghanistan"
"2",1,"Argentina"
"3",1,"Belarus"
"4",1,"Bolivia, Plurinational State of"
"5",1,"Brazil"
"6",1,"Bulgaria"
"7",1,"Cameroon"
"8",1,"Chile"
"9",1,"Colombia"
"10",1,"Costa Rica"
"11",1,"Cote d'Ivoire"
"12",1,"Cuba"
"13",1,"Dominican Republic"
"14",1,"Ecuador"
"15",1,"Egypt"
"16",1,"El Salvador"
"17",1,"Ethiopia"
"18",1,"Ghana"
"19",1,"Guatemala"
"20",1,"Haiti"
"21",1,"Honduras"
"22",1,"Hungary"
"23",1,"India"
"24",1,"Indonesia"
"25",1,"Iran, Islamic Republic of"
"26",1,"Iraq"
"27",1,"Jordan"
"28",1,"Lebanon"
"29",1,"Liberia"
"30",1,"Libya"
"31",1,"Malaysia"
"32",1,"Mali"
"33",1,"Mexico"
"34",1,"Mongolia"
"35",1,"Morocco"
"36",1,"Myanmar"
"37",1,"Nepal"
"38",1,"Nicaragua"
"39",1,"Nigeria"
"40",1,"Pakistan"
"41",1,"Panama"
"42",1,"Paraguay"
"43",1,"Peru"
"44",1,"Philippines"
"45",1,"Poland"
"46",1,"Romania"
"47",1,"Russian Federation"
"48",1,"Saudi Arabia"
"49",1,"Senegal"
"50",1,"Sri Lanka"
"51",1,"Sudan"
"52",1,"Syrian Arab Republic"
"53",1,"Thailand"
"54",1,"Togo"
"55",1,"Tunisia"
"56",1,"Turkey"
"57",1,"Ukraine"
"58",1,"Uruguay"
"59",1,"Venezuela, Bolivarian Republic of"
"60",1,"Yugoslavia"
