Clave,Estado,Municipio,Poblacion,P_PobrezaAlimentaria
7059,Chiapas,Ocosingo," 170,280 ",68.2
7052,Chiapas,Las Margaritas," 98,374 ",69.0
7031,Chiapas,Chil¢n," 95,907 ",76.5
7023,Chiapas,Chamula," 67,085 ",71.7
7096,Chiapas,Tila," 63,172 ",76.4
7099,Chiapas,La Trinitaria," 60,417 ",67.6
7057,Chiapas,Motozintla," 58,115 ",62.2
7077,Chiapas,Salto de Agua," 53,547 ",64.8
7064,Chiapas,Oxchuc," 41,423 ",81.3
7020,Chiapas,La Concordia," 40,189 ",62.0
7093,Chiapas,Tenejapa," 37,826 ",81.0
7092,Chiapas,Tecpat n," 37,543 ",56.0
7041,Chiapas,La Independencia," 36,951 ",64.2
7080,Chiapas,Siltepec," 35,871 ",71.2
7081,Chiapas,Simojovel," 32,451 ",73.0
7094,Chiapas,Teopisca," 32,368 ",57.0
7026,Chiapas,Chenalh¢," 31,788 ",77.0
7109,Chiapas,Yajal¢n," 31,457 ",61.6
7111,Chiapas,Zinacant n," 31,061 ",74.8
7100,Chiapas,Tumbal ," 28,884 ",78.7
7008,Chiapas,Angel Albino Corzo," 28,883 ",59.3
7030,Chiapas,Chicomuselo," 28,260 ",60.9
7072,Chiapas,Pueblo Nuevo Solistahuac ," 27,832 ",68.3
7032,Chiapas,Escuintla," 27,364 ",60.3
7013,Chiapas,Bochil," 26,446 ",60.3
7006,Chiapas,Amatenango de la Frontera," 25,346 ",54.6
7112,Chiapas,San Juan Cancuc," 24,906 ",83.7
7004,Chiapas,Altamirano," 24,725 ",68.7
7076,Chiapas,Sabanilla," 23,675 ",77.0
7044,Chiapas,Ixtapa," 21,705 ",59.2
7039,Chiapas,Huitiup n," 20,087 ",74.8
7005,Chiapas,Amat n," 19,637 ",71.1
7066,Chiapas,Pantelh¢," 19,228 ",78.8
7038,Chiapas,Huixt n," 19,018 ",80.6
7011,Chiapas,Bella Vista," 17,553 ",62.8
7049,Chiapas,Larr inzar," 17,320 ",78.4
7047,Chiapas,Jitotol," 15,005 ",56.4
7014,Chiapas,El Bosque," 14,932 ",64.8
7001,Chiapas,Acacoyagua," 14,653 ",58.2
7022,Chiapas,Chalchihuit n," 13,295 ",81.4
7070,Chiapas,El Porvenir," 12,831 ",73.0
7115,Chiapas,Maravilla Tenejapa," 10,906 ",63.5
