Clave,Estado,Municipio,Poblacion,I_Rezago
12078,Guerrero,Cochoapa el Grande,15572,4.49541
8008,Chihuahua,Batopilas,13298,3.4093
20016,Oaxaca,Coicoyán de las Flores,7598,3.262548
7082,Chiapas,Sitalá,10246,3.2279
18009,Nayarit,Del Nayar,30551,3.115269
12076,Guerrero,Acatepec,28525,3.112117
12043,Guerrero,Metlatónoc,17398,3.070103
20212,Oaxaca,San Juan Petlapa,2717,2.979816
12079,Guerrero,José Joaquín de Herrera,14424,2.920352
7022,Chiapas,Chalchihuitán,13295,2.901539
30159,Veracruz,Tehuipango,20406,2.865599
30110,Veracruz,Mixtla de Altamirano,9572,2.823439
20450,Oaxaca,Santiago Amoltepec,11113,2.796094
20171,Oaxaca,San José Tenango,18120,2.739408
20391,Oaxaca,Santa Lucía Miahuatlán,3023,2.700565
12020,Guerrero,Copanatoyac,17337,2.691123
20242,Oaxaca,San Martín Peras,12406,2.617534
20386,Oaxaca,Santa Cruz Zenzontepec,16773,2.617026
7119,Chiapas,Santiago el Pinar,2854,2.600729
7056,Chiapas,Mitontic,9042,2.595286
7113,Chiapas,Aldama,4906,2.565552
8046,Chihuahua,Morelos,7172,2.559348
12010,Guerrero,Atlixtac,23371,2.555569
7023,Chiapas,Chamula,67085,2.55428
7066,Chiapas,Pantelhó,19228,2.535569
20263,Oaxaca,San Miguel Coatlán,2808,2.522839
20029,Oaxaca,Eloxochitlán de Flores Magón,4042,2.505015
12062,Guerrero,Tlacoachistlahuaca,18055,2.478657
14061,Jalisco,Mezquitic,15674,2.470187
12072,Guerrero,Zapotitlán Tablas,9601,2.455603
21061,Puebla,Eloxochitlán,11347,2.439965
10014,Durango,Mezquital,30069,2.437509
7111,Chiapas,Zinacantán,31061,2.420013
20352,Oaxaca,San Simón Zahuatlán,2481,2.419916
12004,Guerrero,Alcozauca de Guerrero,16237,2.417316
20529,Oaxaca,Santos Reyes Yucuná,1322,2.417032
12069,Guerrero,Xalpatláhuac,12615,2.40091
20406,Oaxaca,Santa María Chilchotla,20577,2.395638
20426,Oaxaca,Santa María Peñoles,7640,2.351155
20095,Oaxaca,San Andrés Paxtlán,4066,2.346498
12063,Guerrero,Tlacoapa,8733,2.34168
20466,Oaxaca,Santiago Ixtayutla,11542,2.329962
20015,Oaxaca,Coatecas Altas,4882,2.325598
12047,Guerrero,Pedro Ascencio Alquisiras,6987,2.315947
12009,Guerrero,Atlamajalcingo del Monte,5143,2.277859
20495,Oaxaca,Santiago Xanica,2829,2.271786
20170,Oaxaca,San José Lachiguiri,3541,2.260421
12019,Guerrero,Copalillo,13747,2.252189
20433,Oaxaca,Santa María Temaxcaltepec,2628,2.246757
12071,Guerrero,Xochistlahuaca,25180,2.222236
7026,Chiapas,Chenalhó,31788,2.211324
20396,Oaxaca,Santa María la Asunción,3223,2.207116
12016,Guerrero,Coahuayutla de José María Izaza,13291,2.200414
20517,Oaxaca,Santo Domingo Tepuxtepec,3714,2.181901
7031,Chiapas,Chilón,95907,2.178039
8065,Chihuahua,Urique,19566,2.161835
20040,Oaxaca,Huautepec,5672,2.160038
20229,Oaxaca,San Lorenzo Texmelúcan,6319,2.156521
30147,Veracruz,Soledad Atzompa,19189,2.154153
20271,Oaxaca,San Miguel Mixtepec,2387,2.151973
8027,Chihuahua,Guachochi,45881,2.149806
20240,Oaxaca,San Martín Itunyoso,2554,2.141334
30020,Veracruz,Atlahuilco,9038,2.141104
8029,Chihuahua,Guadalupe y Calvo,51854,2.136436
21036,Puebla,Coyomeapan,12614,2.122638
7112,Chiapas,San Juan Cancuc,24906,2.115715
20085,Oaxaca,San Agustín Loxicha,17823,2.112373
20354,Oaxaca,Santa Ana Ateixtlahuaca,572,2.108839
20273,Oaxaca,San Miguel Peras,3126,2.105435
8012,Chihuahua,Carichí,8377,2.082451
12002,Guerrero,Ahuacuotzingo,23026,2.075427
20509,Oaxaca,Santo Domingo de Morelos,8751,2.066179
20236,Oaxaca,San Marcial Ozolotepec,1399,2.064383
7024,Chiapas,Chanal,9050,2.055018
21217,Puebla,Zoquitlán,18688,2.054957
20058,Oaxaca,Mazatlán Villa de Flores,12934,2.050393
20563,Oaxaca,Yogana,1160,2.0387
20169,Oaxaca,San José Independencia,3689,2.037044
20392,Oaxaca,Santa Lucía Monteverde,6397,2.032246
12074,Guerrero,Zitlala,19718,2.028688
12041,Guerrero,Malinaltepec,26613,2.025235
30170,Veracruz,Texcatepec,9733,2.018906
20253,Oaxaca,San Mateo Piñas,2647,2.018026
20139,Oaxaca,San Francisco Chapulapa,1968,2.016646
7007,Chiapas,Amatenango del Valle,8506,2.015532
21145,Puebla,San Sebastián Tlacotepec,12688,2.006623
7038,Chiapas,Huixtán,19018,2.001966
20497,Oaxaca,Santiago Yaitepec,3665,1.999287
20234,Oaxaca,San Lucas Zoquiápam,7384,1.999171
20388,Oaxaca,Santa Inés del Monte,2275,1.996864
20189,Oaxaca,San Juan Comaltepec,2389,1.991681
30076,Veracruz,Ilamatlán,13319,1.991176
12081,Guerrero,Iliatenco,10039,1.985887
20292,Oaxaca,San Pablo Cuatro Venados,1267,1.970493
20374,Oaxaca,Santa Cruz Acatepec,1301,1.968111
12032,Guerrero,General Heliodoro Castillo,34554,1.958808
20306,Oaxaca,San Pedro el Alto,3949,1.951466
20203,Oaxaca,San Juan Lachigalla,3363,1.949252
30067,Veracruz,Filomeno Mata,14426,1.945027
20322,Oaxaca,San Pedro Ocopetatillo,897,1.944881
12054,Guerrero,San Miguel Totolapan,27033,1.930425
30137,Veracruz,Los Reyes,4835,1.920309
20435,Oaxaca,Santa María Tepantlali,2315,1.91818
7049,Chiapas,Larráinzar,17320,1.916511
20116,Oaxaca,San Bartolomé Ayautla,3713,1.904565
20248,Oaxaca,San Mateo del Mar,12667,1.900317
20490,Oaxaca,Santiago Texcalcingo,2781,1.897283
8041,Chihuahua,Maguarichi,2116,1.891833
12052,Guerrero,San Luis Acatlán,41884,1.89103
30029,Veracruz,Calcahualco,12466,1.889192
24031,San Luis Potosí,Santa Catarina,10910,1.888664
20494,Oaxaca,Santiago Tlazoyaltepec,4357,1.884077
8066,Chihuahua,Uruachi,7934,1.883409
20231,Oaxaca,San Lucas Camotlán,2524,1.87284
20566,Oaxaca,Zapotitlán del Río,3252,1.869164
20228,Oaxaca,San Lorenzo Cuaunecuiltitla,738,1.866593
20217,Oaxaca,San Juan Tamazola,3170,1.858161
20024,Oaxaca,Cuyamecalco Villa de Zaragoza,3783,1.85797
20146,Oaxaca,San Francisco Logueche,2240,1.850329
8007,Chihuahua,Balleza,16235,1.845412
21050,Puebla,Chichiquila,23072,1.838726
20325,Oaxaca,San Pedro Quiatoni,9824,1.835385
20502,Oaxaca,Santiago Zacatepec,4871,1.827721
