Presidente,Y_Nacimiento,CodigoUnico
EPN,1964,26aE0.4
EPN,1968,144pa0.4
EPN,1950,49asi0.2
EPN,1956,11cas0.2
EPN,1951,65kkas0.4
EPN,1949,122mdkk0.2
EPN,1957,87ias0.4
EPN,1936,6asi0.4
EPN,1974,56zxas0.4
EPN,1969,133xyzx0.2
EPN,1952,52yazxy0.4
EPN,1953,160cca0.4
EPN,1952,135ucc0.2
EPN,1948,43cras0.2
EPN,1963,23cyc0.2
EPN,1961,41paskk0.4
EPN,1972,33qwmd0.4
EPN,1948,10aii0.2
EPN,1948,30pqas0.2
Calderon,1952,1ozx0.2
Calderon,1958,53yydxy0.2
Calderon,1943,163yiayyd0.2
Calderon,1942,10ihnyia0.4
Calderon,1968,18hnihn0.4
Calderon,1958,101hhhhn0.4
Calderon,1957,90lkaa0.2
Calderon,1958,21pqlka0.4
Calderon,1950,19rdqpq0.4
Calderon,1956,110sqqrdq0.2
Calderon,1958,109quzsqq0.4
Calderon,1958,3zyamd0.2
Calderon,1967,97azki0.2
Calderon,1961,2kmanas0.2
Calderon,1953,27cyzx0.4
Calderon,1962,3pasxy0.2
Calderon,1938,20qwyaz0.4
Calderon,1946,13aiqw0.2
Calderon,1957,6pqai0.2
Calderon,1971,114opq0.4
Salinas de Gortari,1927,38yydo0.4
Salinas de Gortari,1931,158yiayyd0.2
Salinas de Gortari,1926,49ihnyia0.2
Salinas de Gortari,1950,50hnihn0.2
Salinas de Gortari,1951,21hhhpq0.4
Salinas de Gortari,1937,125lkahhh0.2
Salinas de Gortari,1945,140pqlka0.2
Salinas de Gortari,1914,92rdqpq0.2
Salinas de Gortari,1955,4qwrdq0.2
Salinas de Gortari,1931,106aihn0.2
Salinas de Gortari,1924,4pqai0.2
Salinas de Gortari,1936,2opq0.4
Salinas de Gortari,1924,40yydo0.4
Salinas de Gortari,1921,58yiayyd0.4
Salinas de Gortari,1936,64ihnqw0.2
Salinas de Gortari,1927,43plihn0.2
Salinas de Gortari,1946,63lapl0.2
Salinas de Gortari,1923,7mmala0.2
Zedillo,1950,43jshnmma0.2
Zedillo,1948,7qwjshn0.4
Zedillo,1943,10pqqw0.2
Zedillo,1943,15opq0.4
Zedillo,1951,31yydla0.4
Zedillo,1953,49yiamma0.4
Zedillo,1944,124ihnjshn0.4
Zedillo,1937,25yydihn0.2
Zedillo,1948,28yiayyd0.2
Zedillo,1950,2zyia0.2
Zedillo,1935,138cvaook0.2
Zedillo,1954,29cbcva0.4
Zedillo,1955,26ookcb0.2
Zedillo,1935,65ksngg0.2
Zedillo,1950,32mamksn0.2
Zedillo,1954,9gghpl0.4
Fox,1954,77gzmgg0.4
Fox,1953,55hplgtr0.2
Fox,1940,15gyjhpl0.4
Fox,1940,17gtrgyj0.4
Fox,1939,26treazk0.2
Fox,1943,102qzkman0.2
Fox,1961,26mcncy0.2
Fox,1957,11qoupas0.2
Fox,1933,23qizqou0.4
Fox,1947,45zzgqiz0.2
Fox,1939,34zfpqiz0.2
Fox,1949,54fhhzfp0.2
Fox,1950,22gjmzfp0.2
Fox,1953,16jangjm0.2
Fox,1953,19aqjan0.4
Fox,1949,70zccaq0.2
Fox,1956,55aszcc0.4
Fox,1953,45rddas0.4
Fox,1950,19rttp0.2
Fox,1960,53yqkrtt0.2
