"","Real","inegiR_v1_1","inegiR_v1_2"
"1","Name of State","Previous Name","New Name"
"2","Aguascalientes","Aguascalientes","AGS"
"3","Baja California","BajaCalifornia","BC"
"4","Baja California Sur","BajaCaliforniaSur","BCS"
"5","Campeche","Campeche","CAMP"
"6","Coahuila","Coahuila","COAH"
"7","Colima","Colima","COL"
"8","Chiapas","Chiapas","CHPS"
"9","Chihuahua","Chihuahua","CHIH"
"10","Distrito Federal","DF","CDMX"
"11","Durango","Durango","DGO"
"12","Guanajuato","Guanajuato","GTO"
"13","Guerrero","Guerrero","GRO"
"14","Hidalgo","Hidalgo","HGO"
"15","Jalisco","Jalisco","JAL"
"16","Estado de México","EdoMexico","MEX"
"17","Michoacán","Michoacan","MICH"
"18","Morelos","Morelos","MOR"
"19","Nayarit","Nayarit","NAY"
"20","Nuevo León","NuevoLeon","NL"
"21","Oaxaca","Oaxaca","OAX"
"22","Puebla","Puebla","PUE"
"23","Querétaro","Queretaro","QRO"
"24","Quintana Roo","QuintanaRoo","QROO"
"25","San Luís Potosí","SanLuisPotosi","SLP"
"26","Sinaloa","Sinaloa","SIN"
"27","Sonora","Sonora","SON"
"28","Tabasco","Tabasco","TAB"
"29","Tamaulipas","Tamaulipas","TAM"
"30","Tlaxcala","Tlaxcala","TLAX"
"31","Veracruz","Veracruz","VER"
"32","Yucatán","Yucatan","YUC"
"33","Zacatecas","Zacatecas","ZAC"
