DEPENDENCIA / ENTIDAD,NOMBRE UC,CLAVE UC,N?MERO DE PROCEDIMIENTO,TIPO DE PROCEDIMIENTO,TIPO CONTRATACI?N,CARACTER,N?MERO DE CONTRATO,REFERENCIA DE LA CONTRATACI?N,FECHA DE SUSCRIPCI?N DE CONTRATO,IMPORTE MN SIN IVA,RAZ?N SOCIAL,URL DEL CONTRATO
"ADMINISTRACI?N PORTUARIA INTEGRAL DE ALTAMIRA, S.A. DE C.V.",Departamento de Recursos Materiales,09176001,09176001-003-11,Licitaci¢n P£blica,Adquisiciones,Nacional,APIALT-RM-011-11,SERVICIO DE PERSONAL DE LIMPIEZA,10/03/2011,"$1,365,993.38","MANTENIMIENTO Y SUMINISTROS ESPECIALIZADOS GARCA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=APIALT-RM-011-11&p_CveDep=09176&p_CveUni=001&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE ALTAMIRA, S.A. DE C.V.",Departamento de Recursos Materiales,09176001,09176001-004-11,Licitaci¢n P£blica,Adquisiciones,Nacional,APIALT-RM-017-11,SUMINISTRO DE BOYA DE MARCACION DE CANAL,30/03/2011,"$630,000.00",PEDRO ARTURO CHAVEZ SANDOVAL,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=APIALT-RM-017-11&p_CveDep=09176&p_CveUni=001&p_NumeroLc=004&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE ALTAMIRA, S.A. DE C.V.",Departamento de Recursos Materiales,09176001,09176001-005-11,Licitaci¢n P£blica,Adquisiciones,Nacional,APIALT-RM-020-11,SERVICIO DE SUMINISTRO E INSTALACI?N Y PUESTA EN MARCHA DE SISTEMA DE MONITOREO DE OLEAJE Y CORRIENTES,31/03/2011,"$2,969,000.00","REP. MEXICANAS DE MAQUINARIA Y EQUIPO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=APIALT-RM-020-11&p_CveDep=09176&p_CveUni=001&p_NumeroLc=005&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE ALTAMIRA, S.A. DE C.V.",Departamento de Recursos Materiales,09176001,09176001-007-11,Licitaci¢n P£blica,Servicios,Nacional,APIALT-RM-018-11,"SERVICIO DE SUMINISTRO, INSTALACION Y PUESTA EN MARCHA DE EQUIPO DETECTOR DE METALES",29/03/2011,"$1,000,220.00","SEGMAN, S.A DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=APIALT-RM-018-11&p_CveDep=09176&p_CveUni=001&p_NumeroLc=007&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE ALTAMIRA, S.A. DE C.V.",Departamento de Recursos Materiales,09176001,09176001-009-11,Licitaci¢n P£blica,Adquisiciones,Nacional,APIALT-RM-024BIS-11,"ADQUISICION Y SUMINISTRO DE REFACCIONES, ACCESORIOS Y HERRAMIENTA, MATERIALES DE CONTRUCCION, ELECTRICO Y FERRETERO",06/05/2011,"$729,018.52","SUMINISTROS INDUSTRIALES DEL PUERTO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=APIALT-RM-024BIS-11&p_CveDep=09176&p_CveUni=001&p_NumeroLc=009&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE ALTAMIRA, S.A. DE C.V.",Departamento de Recursos Materiales,09176001,09176001-008-11,Licitaci¢n P£blica,Adquisiciones,Nacional,APIALT-RM-029-11,CONTRATACION DEL ARRENDAMIENTO DE VEHICULOS 2011 PARA LA ADMINISTRACION PORTUARIA INTEGRAL DE ALTAMIRA S.A. DE C.V.,12/05/2011,"$6,001,872.00",SOLUCION EJECUTIVA MOVIL DEL NORTE S.A DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=APIALT-RM-029-11&p_CveDep=09176&p_CveUni=001&p_NumeroLc=008&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE ALTAMIRA, S.A. DE C.V.",Departamento de Concursos y Contratos,9176002,09176002-003-11,Licitaci¢n P£blica,Obra Publica,Nacional,APIALT-CP-002/11,"Prolongacion de escollera sur, del cadenamiento 1+180 al cadenamiento  1+780, en el Puerto Industrial de Altamira, Tam.",01/04/2011,"$214,099,800.90","CONSEER, S. A. DE C. V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=APIALT-CP-002/11&p_CveDep=09176&p_CveUni=002&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE ALTAMIRA, S.A. DE C.V.",Departamento de Concursos y Contratos,9176002,09176002-001-11,Licitaci¢n P£blica,Obra Publica,Nacional,APIALT-CP-001/11,"Rehabilitacion con concreto hidraulico del Bulevar Altamira, en el tramo comprendido entre el Libramiento Altamira y el Distribuidor Vial Puerto Altamira, en el Puerto industrial de Altamira, Tam.",14/03/2011,"$30,044,096.32","ALVARGA CONSTRUCCIONES, S.A. DE C.V",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=APIALT-CP-001/11&p_CveDep=09176&p_CveUni=002&p_NumeroLc=001&p_AnioLc=2011&ConSin=1
ADMINISTRACI?N PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR S.A. DE C.V.,ComitÇ de Adquisiciones y Adjudicaci¢n de Obra P£blica,33075001,33075001-004-10,Licitaci¢n P£blica,Obra Publica,Nacional,APIBCS-001-11,"REPARACIONES EN EL MUELLE DE USOS MULTIPLES DE PUERTO SAN CARLOS, B.C.S.",08/01/2011,"$4,576,007.54","NEPTUNA ESTRUCTURAS Y TANQUES, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=APIBCS-001-11&p_CveDep=33075&p_CveUni=001&p_NumeroLc=004&p_AnioLc=2010&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE PROGRESO, S.A. DE C.V.",Gerencia de Administraci¢n y Finanzas,09172001,09172001-001-11,Licitaci¢n P£blica,Adquisiciones,Nacional,GAF-GAF-02-11,Servicio de limpieza a oficinas administrativas y jardines,31/01/2011,"$939,356.56","SELIM, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=GAF-GAF-02-11&p_CveDep=09172&p_CveUni=001&p_NumeroLc=001&p_AnioLc=2011&ConSin=1
